image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183BC998910>,are there any consolidations present in the lungs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183BC998A50>,are there any pulmonary consolidations?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x183BC998B90>,is the vertebrae fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x183BC998CD0>,is there a vertebral fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x183BC998E10>,why are the chostrochondral junctions not seen on this film?,cartilage is not well viewed by x rays
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x183BC998F50>,is the heart shadow abnormally large?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x183BC999090>,is the cardiac silhouette enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x183BC9991D0>,are the branches of the superior mesenteric arteries hyper attenuated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x183BC999310>,is there a pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x183BC999450>,is a pneumothorax present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x183BC999590>,is there pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x183BC9996D0>,how can you tell there is no pneumothorax present?,lung markings present all the way laterally to the ribs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x183BC999810>,is the pelvis of the left kidney dilated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x183BC999950>,is the left renal pelvis dilated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x183BC999A90>,why is the right lung most common location for aspirations?,the right mainstem bronchus is more in line with the trachea than the left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC999BD0>,is the bowel perforated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC999D10>,is there bowel perforation present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x183BC999E50>,can the white and gray matter be differentiated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x183BC999F90>,are there any fractures in any of the ribs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x183BC99A0D0>,is there good gray-white matter differentiation?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x183BC99A210>,are there cilia present at the level of alveoli?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x183BC99A350>,are any of the ribs fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x183BC99A490>,are there rib fractures present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x183BC99A5D0>,does a blocked alveoli cause a v/q mismatch?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x183BC99A710>,what radiographic sign is seen in the intestines,air fluid level
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x183BC99A850>,what is the finding in lumen of the intestine called?,air fluid level
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x759 at 0x183BC99A990>,what are the multiple round hyperdensities located immediately inferior to the musculature?,intestine
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x759 at 0x183BC99AAD0>,what are the anterior circular hyperdensities?,intestine
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x183BC99AC10>,are the ventricles enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x183BC99AD50>,are any of the patient's ribs fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x183BC99AE90>,is there ventricular enlargement?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183BC99AFD0>,what is the air under the left hemidiaphragm?,stomach bubble
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183BC99B110>,what is hyperdensity under the diaphragm on the left?,stomach bubble
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x183BC99B250>,where is the infarct?,left cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x183BC99B390>,which vessel is infarcted in this image?,right pica
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x753 at 0x183BC99B4D0>,what signs of cerebral edema are present?,sulcal effacement
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x753 at 0x183BC99B610>,which signs of edema are visualized here?,sulcal effacement
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x183BC99B750>,is the mass surrounding the aorta?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x183BC99B890>,is the aorta encompassed by the mass?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x183BC99B9D0>,what area of cerebrum is visible?,temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x183BC99BB10>,is there blunting of the costovertebral angles?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC99BC50>,is there evidence of fluid in the peritoneal cavity?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x183BC99BD90>,which lobe of the cerebrum is visible?,temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x183BC99BED0>,which vertebral level is this image?,l2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x183BC9CC050>,what level of the spine is most likely seen here?,l2-3
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x183BC9CC190>,what else do you need in order to localize lesions on a cxr?,lateral film as well as pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x183BC9CC2D0>,is the trachea deviated from midline?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x183BC9CC410>,is there tracheal deviation?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x183BC9CC550>,where is the lesion located?,left occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x183BC9CC690>,which lobe is the lesion in?,left occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x183BC9CC7D0>,can x rays be used to identify liver lesions?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x753 at 0x183BC9CC910>,where is the lesion located?,right temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC9CCA50>,is there evidence of ascites?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x753 at 0x183BC9CCB90>,where is the cortical lesion?,right temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x183BC9CCCD0>,is the pancreatic mass enhancing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x183BC9CCE10>,is the mass in the pancreas enhancing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x183BC9CCF50>,what does the black on an x ray indicate?,air
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x183BC9CD090>,can ct be used to assess soft tissues?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x183BC9CD1D0>,are the hemidiaphragms flattened?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x183BC9CD310>,is the diaphragm flattened on either side,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x183BC9CD450>,is the bowel perforated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x183BC9CD590>,is there sign of perforated bowel?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC9CD6D0>,where is the abnormality in this image?,left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x421 at 0x183BC9CD810>,has the small bowel perforated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC9CD950>,where is the lesion located?,left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x183BC9CDA90>,are any fractures present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x183BC9CDBD0>,is there a skull fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x183BC9CDD10>,is there a skull fracture present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x183BC9CDE50>,is the skull fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=739x942 at 0x183BC9CDF90>,is the cardiac silhouette enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=739x942 at 0x183BC9CE0D0>,is the heart size abnormal,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x407 at 0x183BC9CE210>,is there a subarachnoid bleed in the image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x407 at 0x183BC9CE350>,is a subarachnoid bleed present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x759 at 0x183BC9CE490>,what material is the peripheral hypodensity?,fat
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x421 at 0x183BC9CE5D0>,is there evidence of pneumoperitoneum?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x759 at 0x183BC9CE710>,what is the the dark gray surrounding the periphery of the image?,fat
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC9CE850>,does the right kidney show signs of hydronephrosis?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC9CE990>,is the right kidney abnormal here?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x183BC9CEAD0>,is the aorta abnormally wide?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x183BC9CEC10>,is the aortic knob widened?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x183BC9CED50>,is the trachea normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x183BC9CEE90>,is the trachea midline?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x407 at 0x183BC9CEFD0>,are the cortexes atrophied here?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x407 at 0x183BC9CF110>,is cortical atrophy present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x183BC9CF250>,is there a pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x183BC9CF390>,is this the small bowel on this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x183BC9CF4D0>,is a pneuomothorax present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=670x804 at 0x183BC9CF610>,is the skull fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=670x804 at 0x183BC9CF750>,is there a skull fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x183BC9CF890>,if the mass compressed the left renal vein in a male	what else might you expect to see?,varicocele
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1001x1280 at 0x183BC9CF9D0>,are the clavicles fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1001x1280 at 0x183BC9CFB10>,is a clavicular fracture present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC9CFC50>,is the liver lacerated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC9CFD90>,is there damage to the liver?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x183BC9CFED0>,what does the small white lesions in the aorta mean,calcification
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x183E4848050>,what do the hyperdensities in the aorta suggest?,calcification
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1311 at 0x183E4848190>,are feces located in the colon?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x183E48482D0>,is a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x183E4848410>,is there a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x183E4848550>,is this in the coronal plane?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183E4848690>,is there lymphadenopathy?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183E48487D0>,is lymphadenopathy present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x183E4848910>,are the ventricles unaltered?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x183E4848A50>,are the ventricles normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x183E4848B90>,what is the shape of the mass?,elliptical
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x183E4848CD0>,what is the form of the mass?,elliptical
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1080 at 0x183E4848E10>,describe the borders of the lesion.,smooth
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1311 at 0x183E4848F50>,is there stool in the colon?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1080 at 0x183E4849090>,how are the borders of the lesion?,smooth
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x473 at 0x183E48491D0>,what is the location of the mass?,left temporal horn
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x473 at 0x183E4849310>,where is the mass?,left temporal horn
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x964 at 0x183E4849450>,is the mass heterogenous?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x964 at 0x183E4849590>,is the mass varied?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=532x768 at 0x183E48496D0>,is there mass effect seen on this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=532x768 at 0x183E4849810>,is there bulging of structures in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x183E4849950>,can you name the organ captured by this image?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x183E4849A90>,how would you describe the lesion?,ring-enhancing
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x183E4849BD0>,what is this type of lesion called?,ring-enhancing
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x183E4849D10>,do the left and right middle cerebral arteries appear patent on this section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=465x540 at 0x183E4849E50>,what is the location of the abnormality?,right lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=465x540 at 0x183E4849F90>,where is the abnormality?,right lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=976x903 at 0x183E484A0D0>,what is the location of the abnormality?,right side of the trachea
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=976x903 at 0x183E484A210>,where is the abnormality?,right side of the trachea
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x183E484A350>,the bottom of the image indicates what area of the brain?,posterior brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x183E484A490>,is there edema present near the lesion?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x183E484A5D0>,is there fluid accumulation near the lesion?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=516x730 at 0x183E484A710>,are there abnormal findings?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=516x730 at 0x183E484A850>,is anything irregular in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x183E484A990>,what injury does this brain image suggest?,hypoxic ischemic injury
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x183E484AAD0>,is the left and right mca present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x183E484AC10>,what is evinced by this brain image?,loss of normal gray-white matter junction
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=465x540 at 0x183E484AD50>,is this an image of normal physiology?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=465x540 at 0x183E484AE90>,is this patient healthy?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x964 at 0x183E484AFD0>,what is the location of the lesion?,abdomen and pelvis
